"run","GA_best","DE_best","PSO_best","TABU_best","GA_time","DE_time","PSO_time","TABU_time"
1,64.5,64.5,64.5,64.5,10.01,18.09,26.0300000000001,211.94
2,70.5,64.5,64.5,64.5,30.75,37.3100000000001,51.4299999999999,245.07
3,64.5,66.5,66.5,64.5,27.46,41.75,56.04,272.5
4,70.5,64.5,64.5,64.5,38,35.3399999999999,48.1600000000001,298.17
5,70.5,64.5,64.5,64.5,27.5799999999999,40.76,51.7,395.82
6,64.5,64.5,64.5,64.5,37.6999999999998,51.9499999999998,66.6100000000001,453.1
7,66.5,64.5,64.5,64.5,58.6200000000003,66.3599999999997,65.2000000000003,405.99
8,64.5,66.5,64.5,64.5,53.8600000000001,72.0799999999999,94.6999999999998,447.98
9,64.5,64.5,64.5,64.5,42.71,60.7299999999996,74.8599999999997,464.410000000001
10,64.5,64.5,64.5,64.5,56.1700000000001,79.4199999999992,102.940000000001,426.76
